sgRNA	Gene	49117_9
KLHL7_5	KLHL7	19133
OR2AG1_4	OR2AG1	9749
LIG1_5	LIG1	29058
PNMA6A_4	PNMA6A	8025
FAM13B_2	FAM13B	8365
LCE2D_2	LCE2D	9717
MESDC1_2	MESDC1	26286
TFAP2D_2	TFAP2D	4979
ADCY3_5	ADCY3	14619
STC_01461	STC	10755
E2F1_5	E2F1	10938
ATP6V0B_2	ATP6V0B	21144
FAM173B_1	FAM173B	11926
WDR37_5	WDR37	7450
CIDEB_4	CIDEB	32714
DYDC2_3	DYDC2	12017
AUTS2_3	AUTS2	17015
MRPL36_5	MRPL36	9131
GATA6_3	GATA6	7070
ERAL1_2	ERAL1	7889
LGALS4_4	LGALS4	27565
FAM214B_1	FAM214B	26639
RPLP0_1	RPLP0	6722
C11orf16_5	C11orf16	33186
PLA2G3_1	PLA2G3	14441
CASK_3	CASK	7321
MAEA_2	MAEA	10755
KCNH8_5	KCNH8	4696
CEP72_2	CEP72	11214
ESPL1_2	ESPL1	10014
MYBL2_5	MYBL2	12834
EME1_2	EME1	25947
CD58_3	CD58	31842
C8B_3	C8B	15193
RCAN3_3	RCAN3	8537
ZPBP2_2	ZPBP2	7660
IZUMO2_1	IZUMO2	12069
LIPC_3	LIPC	23668
PDE6H_2	PDE6H	317
TMIGD1_1	TMIGD1	8265
ZSCAN21_4	ZSCAN21	36706
OR6T1_5	OR6T1	11788
ASAH1_2	ASAH1	9122
TMEM101_4	TMEM101	10707
SIPA1L2_5	SIPA1L2	20708
MRPL32_3	MRPL32	9086
SPTSSB_2	SPTSSB	9339
TCF3_2	TCF3	8299
UBTD1_2	UBTD1	14055
OR10A4_1	OR10A4	9675
SHISA2_3	SHISA2	33685
IMPA1_1	IMPA1	4689
MOGAT2_5	MOGAT2	27517
STC_01330	STC	6198
OR51G1_1	OR51G1	12178
GEMIN5_2	GEMIN5	11086
STC_06965	STC	6237
KCTD11_1	KCTD11	10740
XPO5_4	XPO5	7261
COL5A3_4	COL5A3	8351
OR1J1_3	OR1J1	6155
GNB2L1_2	GNB2L1	16404
CACNA1B_3	CACNA1B	13994
SRD5A2_4	SRD5A2	16490
DNAJB8_4	DNAJB8	4642
DEFB136_5	DEFB136	8066
BAZ1B_1	BAZ1B	17268
RSPO2_3	RSPO2	10099
SNX9_5	SNX9	12950
CCDC8_4	CCDC8	19774
TSTA3_4	TSTA3	3102
PLEKHN1_1	PLEKHN1	13485
LRRC40_4	LRRC40	12957
CLPTM1_5	CLPTM1	18344
DAO_4	DAO	12987
C1orf101_2	C1orf101	8389
CA14_4	CA14	33571
CAV1_3	CAV1	12135
PIWIL4_2	PIWIL4	7335
KDM4E_1	KDM4E	20701
MCM3_5	MCM3	12309
YIPF3_5	YIPF3	9885
STC_03584	STC	17215
AFF2_5	AFF2	13246
ADAM7_1	ADAM7	1599
C11orf58_1	C11orf58	21513
TMEM203_2	TMEM203	27273
OPN4_1	OPN4	10637
DNAJC10_4	DNAJC10	7047
HGFAC_5	HGFAC	12643
INO80C_2	INO80C	7634
MAMSTR_3	MAMSTR	20253
TMEM106A_3	TMEM106A	20387
F2RL2_1	F2RL2	17883
AGFG2_1	AGFG2	13549
GSK3B_4	GSK3B	8469
MAPK3_2	MAPK3	16924
HMGN2_1	HMGN2	12665
TDRKH_5	TDRKH	6830
PIK3IP1_3	PIK3IP1	14835
HEATR3_2	HEATR3	17711
HMX1_3	HMX1	26754
NAGK_5	NAGK	19116
SAP30L_1	SAP30L	12670
TMEM88_4	TMEM88	16099
TUSC2_2	TUSC2	2808
ARRDC4_4	ARRDC4	13382
STC_09679	STC	26336
TRIM49C_4	TRIM49C	22418
PRAMEF14_4	PRAMEF14	11113
CD74_4	CD74	24718
ATP5G2_5	ATP5G2	19434
MCAT_4	MCAT	9943
CNOT1_5	CNOT1	13737
CD163_3	CD163	20075
MPND_4	MPND	12308
SH3KBP1_4	SH3KBP1	5257
SERPINA3_2	SERPINA3	12888
CD300E_1	CD300E	7942
IER2_1	IER2	22273
TYROBP_3	TYROBP	20928
NT5C_2	NT5C	9229
ARHGEF5_4	ARHGEF5	10768
ABCA5_3	ABCA5	20576
SPHKAP_4	SPHKAP	15822
FGF2_3	FGF2	13170
HRNR_4	HRNR	15688
ARPC3_4	ARPC3	8000
CEP70_4	CEP70	9123
EZR_5	EZR	8921
TBX22_4	TBX22	11920
RRAGD_1	RRAGD	14266
TEC_5	TEC	3941
KIF3B_4	KIF3B	6086
TOPAZ1_1	TOPAZ1	21019
ZNRF3_5	ZNRF3	5556
TEX10_4	TEX10	8338
STC_04560	STC	5936
EDNRA_2	EDNRA	15952
UNC93A_4	UNC93A	22931
FREM3_3	FREM3	7914
MMD_3	MMD	16395
CDIPT_1	CDIPT	1554
SLC10A3_4	SLC10A3	22554
COL8A1_3	COL8A1	5167
WNT9B_1	WNT9B	46208
BUB3_4	BUB3	7218
PPM1A_2	PPM1A	12884
FUK_4	FUK	32889
PCBP3_1	PCBP3	13373
STC_04028	STC	29292
STC_03330	STC	24949
CLCN6_1	CLCN6	14690
TM2D1_4	TM2D1	15839
CST5_2	CST5	6969
RNASEK_3	RNASEK	18772
GATA3_5	GATA3	16849
ERCC6L_5	ERCC6L	7575
KRTAP12-4_1	KRTAP12-4	32497
SLC4A1_3	SLC4A1	24318
EXOSC3_5	EXOSC3	20596
SLC2A7_2	SLC2A7	11175
C9orf40_3	C9orf40	17087
PAX7_4	PAX7	34396
TRPS1_3	TRPS1	6450
MEGF10_3	MEGF10	10743
HOXA4_4	HOXA4	12861
STC_01633	STC	6075
EEPD1_4	EEPD1	20741
MRPL13_1	MRPL13	27275
SALL2_1	SALL2	22866
ZNF416_4	ZNF416	10122
TSSC4_3	TSSC4	14927
MT1E_4	MT1E	13976
SRGAP2C_4	SRGAP2C	16932
PPEF2_2	PPEF2	9924
STC_02022	STC	4388
SUV39H2_5	SUV39H2	9082
B3GALT2_3	B3GALT2	5892
KRTAP19-5_1	KRTAP19-5	9764
ST14_1	ST14	12040
MYOG_4	MYOG	7416
DNAJC13_4	DNAJC13	10015
ZNF668_4	ZNF668	13157
IFT46_3	IFT46	23719
FAM50A_3	FAM50A	21959
COMMD3_5	COMMD3	5590
STC_04671	STC	3179
DIRAS1_4	DIRAS1	25013
CSAG1_4	CSAG1	17818
CD63_2	CD63	23902
POLR3H_4	POLR3H	29736
TANK_5	TANK	14234
CYP4B1_5	CYP4B1	10428
KCNH6_3	KCNH6	26943
NDUFA4_1	NDUFA4	4681
BBC3_4	BBC3	9275
B9D1_2	B9D1	5525
NSFL1C_5	NSFL1C	7317
ZPLD1_3	ZPLD1	7024
SPATA7_1	SPATA7	18440
RHPN1_4	RHPN1	7339
MOB3C_4	MOB3C	14545
PRR30_5	PRR30	8222
LOC441155_1	LOC441155	13950
NDUFB1_5	NDUFB1	19044
LILRB4_1	LILRB4	28008
OGFOD2_2	OGFOD2	33309
RASSF4_2	RASSF4	6485
PPP1R14A_4	PPP1R14A	19301
RPS24_2	RPS24	17684
USP2_2	USP2	15284
ZNF587_3	ZNF587	26109
TGM1_5	TGM1	15907
PATE2_4	PATE2	46071
STC_04628	STC	16209
OR51E1_2	OR51E1	8589
GPR85_5	GPR85	10919
TAPBP_4	TAPBP	12525
STC_09303	STC	28090
EML1_1	EML1	40171
STC_02527	STC	26579
ZNF697_1	ZNF697	12053
COPS6_1	COPS6	16671
PGLYRP1_1	PGLYRP1	5333
SCAPER_3	SCAPER	6223
VAMP5_4	VAMP5	6563
TCEAL4_3	TCEAL4	30271
TMIGD2_3	TMIGD2	12877
INSM2_1	INSM2	5034
TMEM211_5	TMEM211	10947
PGD_3	PGD	14687
CDKAL1_1	CDKAL1	8803
C17orf105_2	C17orf105	6970
ALAD_1	ALAD	14846
HDAC4_4	HDAC4	19120
GKAP1_2	GKAP1	4984
SPIB_1	SPIB	19461
CCDC30_3	CCDC30	22359
EPDR1_3	EPDR1	13196
FAM131A_3	FAM131A	26054
LLGL1_5	LLGL1	12612
PPFIA2_5	PPFIA2	3161
CCDC152_3	CCDC152	10366
PLEKHA5_3	PLEKHA5	13557
TEX29_4	TEX29	24465
ABHD5_1	ABHD5	15804
FOXE3_1	FOXE3	15758
NBPF9_3	NBPF9	3819
MRPL33_5	MRPL33	9157
ARNT_2	ARNT	29926
TFF1_1	TFF1	7973
LHB_1	LHB	42352
NPTX1_4	NPTX1	11903
SYF2_5	SYF2	1609
MGAT1_3	MGAT1	32018
ADRB1_1	ADRB1	9078
NDUFV3_4	NDUFV3	884
PIAS4_4	PIAS4	19560
CIB3_5	CIB3	9273
QSOX1_4	QSOX1	9148
EIF4G3_1	EIF4G3	13920
ZCCHC10_1	ZCCHC10	2933
CCDC28A_1	CCDC28A	11698
ENO1_3	ENO1	6881
C12orf4_1	C12orf4	11757
PKD1L3_5	PKD1L3	18005
STC_08382	STC	14026
THBS2_3	THBS2	2324
CD46_4	CD46	1668
VGLL4_2	VGLL4	22039
ABLIM3_4	ABLIM3	25090
STC_01511	STC	11755
HIGD1B_1	HIGD1B	7116
PNPO_3	PNPO	3782
ZNF618_3	ZNF618	12540
APOBEC3D_3	APOBEC3D	19784
