sgRNA	Gene	49117_9
FAM120C_1	FAM120C	0
FAM120C_2	FAM120C	0
FAM120C_3	FAM120C	0
FAM120C_4	FAM120C	0
FAM120C_5	FAM120C	0
FAM122A_1	FAM122A	0
FAM122A_3	FAM122A	0
FAM122A_4	FAM122A	0
FAM122A_5	FAM122A	0
FAM122B_1	FAM122B	0
FAM122B_2	FAM122B	0
FAM122B_3	FAM122B	0
FAM122B_4	FAM122B	0
FAM122B_5	FAM122B	0
FAM122C_2	FAM122C	0
FAM122C_3	FAM122C	0
FAM122C_4	FAM122C	0
FAM122C_5	FAM122C	0
FAM124A_1	FAM124A	0
FAM124A_2	FAM124A	0
FAM124A_3	FAM124A	0
FAM124A_4	FAM124A	0
FAM124A_5	FAM124A	0
FAM124B_1	FAM124B	0
FAM124B_2	FAM124B	0
FAM124B_3	FAM124B	0
FAM124B_4	FAM124B	0
FAM126A_1	FAM126A	0
FAM126A_2	FAM126A	0
FAM126A_3	FAM126A	0
FAM126A_4	FAM126A	0
FAM126A_5	FAM126A	0
FAM126B_1	FAM126B	0
FAM126B_2	FAM126B	0
FAM126B_3	FAM126B	0
FAM126B_4	FAM126B	0
FAM126B_5	FAM126B	0
FAM127A_1	FAM127A	0
FAM127A_2	FAM127A	0
FAM127A_4	FAM127A	0
FAM127B_1	FAM127B	0
FAM127B_2	FAM127B	0
FAM127B_3	FAM127B	0
FAM127B_4	FAM127B	0
FAM127B_5	FAM127B	0
FAM127C_1	FAM127C	0
FAM127C_2	FAM127C	0
FAM127C_3	FAM127C	0
FAM127C_4	FAM127C	0
FAM127C_5	FAM127C	0
FAM129A_1	FAM129A	0
FAM129A_2	FAM129A	0
FAM129A_4	FAM129A	0
FAM129A_5	FAM129A	0
FAM129B_1	FAM129B	0
FAM129B_2	FAM129B	0
FAM129B_3	FAM129B	0
FAM129B_4	FAM129B	0
FAM129B_5	FAM129B	0
FAM129C_1	FAM129C	0
FAM129C_2	FAM129C	0
FAM129C_3	FAM129C	0
FAM129C_4	FAM129C	0
FAM129C_5	FAM129C	0
FAM131A_1	FAM131A	0
FAM131A_2	FAM131A	0
FAM131A_5	FAM131A	0
FAM131B_1	FAM131B	0
FAM131B_2	FAM131B	0
FAM131B_3	FAM131B	0
FAM131B_4	FAM131B	0
FAM131B_5	FAM131B	0
FAM131C_1	FAM131C	0
FAM131C_2	FAM131C	0
FAM131C_5	FAM131C	0
FAM132A_1	FAM132A	0
FAM132A_2	FAM132A	0
FAM132A_3	FAM132A	0
FAM132A_4	FAM132A	0
FAM132A_5	FAM132A	0
FAM132B_1	FAM132B	0
FAM132B_2	FAM132B	0
FAM132B_3	FAM132B	0
FAM132B_4	FAM132B	0
FAM132B_5	FAM132B	0
FAM133A_1	FAM133A	0
FAM133A_2	FAM133A	0
FAM133A_3	FAM133A	0
FAM133A_5	FAM133A	0
FAM133B_1	FAM133B	0
FAM133B_2	FAM133B	0
FAM133B_3	FAM133B	0
FAM133B_4	FAM133B	0
FAM133B_5	FAM133B	0
FAM134A_1	FAM134A	0
FAM134A_2	FAM134A	0
FAM134A_3	FAM134A	0
FAM134A_4	FAM134A	0
FAM134A_5	FAM134A	0
FAM134B_1	FAM134B	0
FAM134B_2	FAM134B	0
FAM134B_3	FAM134B	0
FAM134B_4	FAM134B	0
FAM134B_5	FAM134B	0
FAM134C_1	FAM134C	0
FAM134C_2	FAM134C	0
FAM134C_3	FAM134C	0
FAM134C_4	FAM134C	0
FAM134C_5	FAM134C	0
FAM135A_1	FAM135A	0
FAM135A_2	FAM135A	0
FAM135A_4	FAM135A	0
FAM135A_5	FAM135A	0
FAM135B_1	FAM135B	0
FAM135B_2	FAM135B	0
FAM135B_3	FAM135B	0
FAM135B_4	FAM135B	0
FAM135B_5	FAM135B	0
FAM136A_1	FAM136A	0
FAM136A_2	FAM136A	0
FAM136A_3	FAM136A	0
FAM136A_4	FAM136A	0
FAM136A_5	FAM136A	0
FAM13A_2	FAM13A	0
FAM13A_3	FAM13A	0
FAM13A_4	FAM13A	0
FAM13A_5	FAM13A	0
FAM13B_1	FAM13B	0
FAM13B_3	FAM13B	0
FAM13B_4	FAM13B	0
FAM13B_5	FAM13B	0
FAM13C_1	FAM13C	0
FAM13C_2	FAM13C	0
FAM13C_3	FAM13C	0
FAM13C_4	FAM13C	0
FAM13C_5	FAM13C	0
FAM149A_1	FAM149A	0
FAM149A_2	FAM149A	0
FAM149A_3	FAM149A	0
FAM149A_4	FAM149A	0
FAM149A_5	FAM149A	0
FAM149B1_1	FAM149B1	0
FAM149B1_2	FAM149B1	0
FAM149B1_4	FAM149B1	0
FAM149B1_5	FAM149B1	0
FAM150A_1	FAM150A	0
FAM150A_2	FAM150A	0
FAM150A_3	FAM150A	0
FAM150A_4	FAM150A	0
FAM150A_5	FAM150A	0
FAM150B_1	FAM150B	0
FAM150B_2	FAM150B	0
FAM150B_4	FAM150B	0
FAM150B_5	FAM150B	0
FAM151A_1	FAM151A	0
FAM151A_2	FAM151A	0
FAM151A_3	FAM151A	0
FAM151A_4	FAM151A	0
FAM151A_5	FAM151A	0
FAM151B_1	FAM151B	0
FAM151B_2	FAM151B	0
FAM151B_3	FAM151B	0
FAM151B_4	FAM151B	0
FAM151B_5	FAM151B	0
FAM153A_1	FAM153A	0
FAM153A_2	FAM153A	0
FAM153A_3	FAM153A	0
FAM153A_4	FAM153A	0
FAM153A_5	FAM153A	0
FAM155A_1	FAM155A	0
FAM155A_2	FAM155A	0
FAM155A_3	FAM155A	0
FAM155A_4	FAM155A	0
FAM155A_5	FAM155A	0
FAM155B_1	FAM155B	0
FAM155B_2	FAM155B	0
FAM155B_3	FAM155B	0
FAM155B_4	FAM155B	0
FAM155B_5	FAM155B	0
FAM159A_1	FAM159A	0
FAM159A_2	FAM159A	0
FAM159A_3	FAM159A	0
FAM159A_4	FAM159A	0
FAM159A_5	FAM159A	0
FAM159B_1	FAM159B	0
FAM159B_2	FAM159B	0
FAM159B_3	FAM159B	0
FAM159B_4	FAM159B	0
FAM159B_5	FAM159B	0
FAM160A1_1	FAM160A1	0
FAM160A1_2	FAM160A1	0
FAM160A1_3	FAM160A1	0
FAM160A1_4	FAM160A1	0
FAM160A1_5	FAM160A1	0
FAM160A2_1	FAM160A2	0
FAM160A2_2	FAM160A2	0
FAM160A2_3	FAM160A2	0
FAM160A2_4	FAM160A2	0
FAM160A2_5	FAM160A2	0
FAM160B1_1	FAM160B1	0
FAM160B1_2	FAM160B1	0
FAM160B1_3	FAM160B1	0
FAM160B1_4	FAM160B1	0
FAM160B1_5	FAM160B1	0
FAM160B2_1	FAM160B2	0
FAM160B2_2	FAM160B2	0
FAM160B2_3	FAM160B2	0
FAM160B2_4	FAM160B2	0
FAM160B2_5	FAM160B2	0
FAM161A_1	FAM161A	0
FAM161A_2	FAM161A	0
FAM161A_3	FAM161A	0
FAM161A_4	FAM161A	0
FAM161B_1	FAM161B	0
FAM161B_2	FAM161B	0
FAM161B_3	FAM161B	0
FAM161B_4	FAM161B	0
FAM161B_5	FAM161B	0
FAM162A_1	FAM162A	0
FAM162A_2	FAM162A	0
FAM162A_3	FAM162A	0
FAM162A_4	FAM162A	0
FAM162A_5	FAM162A	0
FAM162B_1	FAM162B	0
FAM162B_2	FAM162B	0
FAM162B_3	FAM162B	0
FAM162B_4	FAM162B	0
FAM162B_5	FAM162B	0
FAM163A_2	FAM163A	0
FAM163A_3	FAM163A	0
FAM163A_4	FAM163A	0
FAM163A_5	FAM163A	0
FAM163B_1	FAM163B	0
FAM163B_3	FAM163B	0
FAM163B_4	FAM163B	0
FAM163B_5	FAM163B	0
FAM166A_1	FAM166A	0
FAM166A_2	FAM166A	0
FAM166A_3	FAM166A	0
FAM166A_4	FAM166A	0
FAM166A_5	FAM166A	0
FAM166B_2	FAM166B	0
FAM166B_3	FAM166B	0
FAM166B_4	FAM166B	0
FAM166B_5	FAM166B	0
FAM167A_1	FAM167A	0
FAM167A_2	FAM167A	0
FAM167A_4	FAM167A	0
FAM167A_5	FAM167A	0
FAM167B_1	FAM167B	0
FAM167B_2	FAM167B	0
FAM167B_3	FAM167B	0
FAM167B_4	FAM167B	0
FAM167B_5	FAM167B	0
FAM168A_1	FAM168A	0
FAM168A_2	FAM168A	0
FAM168A_3	FAM168A	0
FAM168A_4	FAM168A	0
FAM168A_5	FAM168A	0
FAM168B_1	FAM168B	0
FAM168B_2	FAM168B	0
FAM168B_3	FAM168B	0
FAM168B_4	FAM168B	0
FAM169A_1	FAM169A	0
FAM169A_2	FAM169A	0
FAM169A_3	FAM169A	0
FAM169A_4	FAM169A	0
FAM169A_5	FAM169A	0
FAM170A_1	FAM170A	0
FAM170A_2	FAM170A	0
FAM170A_3	FAM170A	0
FAM170A_4	FAM170A	0
FAM170A_5	FAM170A	0
FAM170B_1	FAM170B	0
FAM170B_2	FAM170B	0
FAM170B_3	FAM170B	0
FAM170B_4	FAM170B	0
FAM170B_5	FAM170B	0
FAM171A1_1	FAM171A1	0
FAM171A1_2	FAM171A1	0
FAM171A1_3	FAM171A1	0
FAM171A1_4	FAM171A1	0
FAM171A1_5	FAM171A1	0
FAM171A2_1	FAM171A2	0
FAM171A2_3	FAM171A2	0
FAM171A2_4	FAM171A2	0
FAM171B_1	FAM171B	0
FAM171B_2	FAM171B	0
FAM171B_3	FAM171B	0
FAM171B_4	FAM171B	0
FAM171B_5	FAM171B	0
FAM172A_1	FAM172A	0
FAM172A_2	FAM172A	0
FAM172A_3	FAM172A	0
FAM172A_4	FAM172A	0
FAM172A_5	FAM172A	0
FAM173A_1	FAM173A	0
FAM173A_2	FAM173A	0
FAM173A_3	FAM173A	0
FAM173A_4	FAM173A	0
FAM173A_5	FAM173A	0
FAM173B_2	FAM173B	0
FAM173B_3	FAM173B	0
FAM173B_4	FAM173B	0
FAM173B_5	FAM173B	0
FAM174A_1	FAM174A	0
FAM174A_2	FAM174A	0
FAM174A_3	FAM174A	0
FAM174A_4	FAM174A	0
FAM174A_5	FAM174A	0
FAM174B_1	FAM174B	0
FAM174B_2	FAM174B	0
FAM174B_3	FAM174B	0
FAM174B_4	FAM174B	0
FAM174B_5	FAM174B	0
FAM175A_2	FAM175A	0
FAM175A_3	FAM175A	0
FAM175A_4	FAM175A	0
FAM175B_1	FAM175B	0
FAM175B_2	FAM175B	0
FAM175B_3	FAM175B	0
FAM175B_4	FAM175B	0
FAM175B_5	FAM175B	0
FAM177A1_2	FAM177A1	0
FAM177A1_5	FAM177A1	0
FAM177B_1	FAM177B	0
FAM177B_2	FAM177B	0
FAM177B_3	FAM177B	0
FAM177B_4	FAM177B	0
FAM177B_5	FAM177B	0
FAM178B_2	FAM178B	0
FAM178B_4	FAM178B	0
FAM178B_5	FAM178B	0
FAM179A_1	FAM179A	0
FAM179A_2	FAM179A	0
FAM179A_3	FAM179A	0
FAM179A_4	FAM179A	0
FAM179B_3	FAM179B	0
FAM179B_4	FAM179B	0
FAM179B_5	FAM179B	0
FAM180A_1	FAM180A	0
FAM180A_2	FAM180A	0
FAM180A_3	FAM180A	0
FAM180A_4	FAM180A	0
FAM180A_5	FAM180A	0
FAM180B_1	FAM180B	0
FAM180B_2	FAM180B	0
FAM180B_3	FAM180B	0
FAM180B_4	FAM180B	0
FAM180B_5	FAM180B	0
FAM181A_2	FAM181A	0
FAM181A_3	FAM181A	0
FAM181A_4	FAM181A	0
FAM181A_5	FAM181A	0
FAM181B_1	FAM181B	0
FAM181B_2	FAM181B	0
FAM181B_3	FAM181B	0
FAM181B_4	FAM181B	0
FAM181B_5	FAM181B	0
FAM183A_1	FAM183A	0
FAM183A_2	FAM183A	0
FAM183A_3	FAM183A	0
FAM183A_4	FAM183A	0
FAM183A_5	FAM183A	0
FAM184A_1	FAM184A	0
FAM184A_2	FAM184A	0
FAM184A_3	FAM184A	0
FAM184A_4	FAM184A	0
FAM184A_5	FAM184A	0
FAM184B_1	FAM184B	0
FAM184B_2	FAM184B	0
FAM184B_3	FAM184B	0
FAM184B_4	FAM184B	0
FAM184B_5	FAM184B	0
FAM185A_1	FAM185A	0
FAM185A_3	FAM185A	0
FAM185A_4	FAM185A	0
FAM185A_5	FAM185A	0
FAM186A_1	FAM186A	0
FAM186A_2	FAM186A	0
FAM186A_3	FAM186A	0
FAM186A_4	FAM186A	0
FAM186A_5	FAM186A	0
FAM186B_1	FAM186B	0
FAM186B_2	FAM186B	0
FAM186B_3	FAM186B	0
FAM186B_4	FAM186B	0
FAM186B_5	FAM186B	0
FAM187B_1	FAM187B	0
FAM187B_2	FAM187B	0
FAM187B_3	FAM187B	0
FAM187B_4	FAM187B	0
FAM188A_2	FAM188A	0
FAM188A_3	FAM188A	0
FAM188A_4	FAM188A	0
FAM188B_1	FAM188B	0
FAM188B_2	FAM188B	0
FAM188B_3	FAM188B	0
FAM188B_5	FAM188B	0
FAM189A1_2	FAM189A1	0
FAM189A1_3	FAM189A1	0
FAM189A1_4	FAM189A1	0
FAM189A2_1	FAM189A2	0
FAM189A2_2	FAM189A2	0
FAM189A2_3	FAM189A2	0
FAM189A2_4	FAM189A2	0
FAM189A2_5	FAM189A2	0
FAM189B_1	FAM189B	0
FAM189B_2	FAM189B	0
FAM189B_3	FAM189B	0
FAM189B_4	FAM189B	0
FAM189B_5	FAM189B	0
FAM192A_1	FAM192A	0
FAM192A_2	FAM192A	0
FAM192A_3	FAM192A	0
FAM192A_4	FAM192A	0
FAM192A_5	FAM192A	0
FAM193A_1	FAM193A	0
FAM193A_2	FAM193A	0
FAM193A_3	FAM193A	0
FAM193A_4	FAM193A	0
FAM193A_5	FAM193A	0
FAM193B_1	FAM193B	0
FAM193B_3	FAM193B	0
FAM193B_4	FAM193B	0
FAM193B_5	FAM193B	0
FAM195A_1	FAM195A	0
FAM195A_2	FAM195A	0
FAM195A_3	FAM195A	0
FAM195A_4	FAM195A	0
FAM195A_5	FAM195A	0
FAM195B_1	FAM195B	0
FAM195B_2	FAM195B	0
FAM195B_3	FAM195B	0
FAM195B_4	FAM195B	0
FAM195B_5	FAM195B	0
FAM196A_1	FAM196A	0
FAM196A_2	FAM196A	0
FAM196A_3	FAM196A	0
FAM196A_4	FAM196A	0
FAM196B_1	FAM196B	0
FAM196B_2	FAM196B	0
FAM196B_3	FAM196B	0
FAM196B_4	FAM196B	0
FAM196B_5	FAM196B	0
FAM198A_1	FAM198A	0
FAM198A_2	FAM198A	0
FAM198A_3	FAM198A	0
FAM198A_4	FAM198A	0
FAM198A_5	FAM198A	0
FAM198B_1	FAM198B	0
FAM198B_2	FAM198B	0
FAM198B_3	FAM198B	0
FAM198B_4	FAM198B	0
FAM198B_5	FAM198B	0
FAM199X_2	FAM199X	0
FAM199X_3	FAM199X	0
FAM199X_4	FAM199X	0
FAM199X_5	FAM199X	0
FAM19A1_1	FAM19A1	0
FAM19A1_2	FAM19A1	0
FAM19A1_3	FAM19A1	0
FAM19A1_4	FAM19A1	0
FAM19A1_5	FAM19A1	0
FAM19A2_1	FAM19A2	0
FAM19A2_2	FAM19A2	0
FAM19A2_3	FAM19A2	0
FAM19A2_4	FAM19A2	0
FAM19A2_5	FAM19A2	0
FAM19A3_1	FAM19A3	0
FAM19A3_2	FAM19A3	0
FAM19A3_3	FAM19A3	0
FAM19A3_4	FAM19A3	0
FAM19A3_5	FAM19A3	0
FAM19A4_1	FAM19A4	0
FAM19A4_2	FAM19A4	0
FAM19A4_3	FAM19A4	0
FAM19A4_4	FAM19A4	0
FAM19A5_1	FAM19A5	0
FAM19A5_2	FAM19A5	0
FAM19A5_3	FAM19A5	0
FAM19A5_4	FAM19A5	0
FAM19A5_5	FAM19A5	0
FAM200A_1	FAM200A	0
FAM200A_2	FAM200A	0
FAM200A_3	FAM200A	0
FAM200A_4	FAM200A	0
FAM200A_5	FAM200A	0
FAM200B_1	FAM200B	0
FAM200B_2	FAM200B	0
FAM200B_4	FAM200B	0
FAM200B_5	FAM200B	0
FAM204A_1	FAM204A	0
FAM204A_2	FAM204A	0
FAM204A_3	FAM204A	0
FAM204A_4	FAM204A	0
FAM204A_5	FAM204A	0
FAM205A_2	FAM205A	0
FAM205A_3	FAM205A	0
FAM205A_5	FAM205A	0
FAM205C_1	FAM205C	0
FAM205C_2	FAM205C	0
FAM205C_3	FAM205C	0
FAM205C_4	FAM205C	0
FAM205C_5	FAM205C	0
FAM206A_1	FAM206A	0
FAM206A_2	FAM206A	0
FAM206A_3	FAM206A	0
FAM206A_4	FAM206A	0
FAM206A_5	FAM206A	0
FAM207A_1	FAM207A	0
FAM207A_2	FAM207A	0
FAM207A_3	FAM207A	0
FAM207A_4	FAM207A	0
FAM207A_5	FAM207A	0
FAM208A_1	FAM208A	0
FAM208A_3	FAM208A	0
FAM208A_4	FAM208A	0
FAM208A_5	FAM208A	0
FAM208B_2	FAM208B	0
FAM208B_3	FAM208B	0
FAM208B_4	FAM208B	0
FAM208B_5	FAM208B	0
FAM209A_3	FAM209A	0
FAM209A_4	FAM209A	0
FAM209A_5	FAM209A	0
FAM209B_1	FAM209B	0
FAM209B_2	FAM209B	0
FAM209B_3	FAM209B	0
FAM209B_4	FAM209B	0
FAM209B_5	FAM209B	0
FAM20A_1	FAM20A	0
FAM20A_2	FAM20A	0
FAM20A_3	FAM20A	0
FAM20A_4	FAM20A	0
FAM20A_5	FAM20A	0
FAM20B_1	FAM20B	0
FAM20B_2	FAM20B	0
FAM20B_3	FAM20B	0
FAM20B_4	FAM20B	0
FAM20B_5	FAM20B	0
FAM20C_1	FAM20C	0
FAM20C_2	FAM20C	0
FAM20C_3	FAM20C	0
FAM20C_4	FAM20C	0
FAM20C_5	FAM20C	0
FAM210A_1	FAM210A	0
FAM210A_3	FAM210A	0
FAM210A_4	FAM210A	0
FAM210A_5	FAM210A	0
FAM210B_1	FAM210B	0
FAM210B_2	FAM210B	0
FAM210B_3	FAM210B	0
FAM210B_4	FAM210B	0
FAM210B_5	FAM210B	0
FAM212A_1	FAM212A	0
FAM212A_2	FAM212A	0
FAM212A_3	FAM212A	0
FAM212A_4	FAM212A	0
FAM212A_5	FAM212A	0
FAM212B_1	FAM212B	0
FAM212B_2	FAM212B	0
FAM212B_3	FAM212B	0
FAM212B_4	FAM212B	0
FAM212B_5	FAM212B	0
FAM213A_1	FAM213A	0
FAM213A_2	FAM213A	0
FAM213A_3	FAM213A	0
FAM213A_4	FAM213A	0
FAM213A_5	FAM213A	0
FAM213B_1	FAM213B	0
FAM213B_2	FAM213B	0
FAM213B_4	FAM213B	0
FAM213B_5	FAM213B	0
FAM214A_1	FAM214A	0
FAM214A_2	FAM214A	0
FAM214A_3	FAM214A	0
FAM214A_5	FAM214A	0
FAM214B_2	FAM214B	0
FAM214B_3	FAM214B	0
FAM214B_4	FAM214B	0
FAM214B_5	FAM214B	0
FAM216A_1	FAM216A	0
FAM216A_2	FAM216A	0
FAM216A_3	FAM216A	0
FAM216A_4	FAM216A	0
FAM216A_5	FAM216A	0
FAM216B_1	FAM216B	0
FAM216B_2	FAM216B	0
FAM216B_3	FAM216B	0
FAM216B_4	FAM216B	0
FAM217A_1	FAM217A	0
FAM217A_2	FAM217A	0
FAM217A_3	FAM217A	0
FAM217A_4	FAM217A	0
FAM217A_5	FAM217A	0
FAM217B_1	FAM217B	0
FAM217B_2	FAM217B	0
FAM217B_3	FAM217B	0
FAM217B_4	FAM217B	0
FAM217B_5	FAM217B	0
FAM219A_1	FAM219A	0
FAM219A_2	FAM219A	0
FAM219A_3	FAM219A	0
FAM219A_4	FAM219A	0
FAM219A_5	FAM219A	0
FAM219B_1	FAM219B	0
FAM219B_2	FAM219B	0
FAM219B_3	FAM219B	0
FAM219B_4	FAM219B	0
FAM219B_5	FAM219B	0
FAM21A_1	FAM21A	0
FAM21A_2	FAM21A	0
FAM21A_3	FAM21A	0
FAM21A_4	FAM21A	0
FAM21A_5	FAM21A	0
FAM21C_1	FAM21C	0
FAM21C_2	FAM21C	0
FAM21C_3	FAM21C	0
FAM21C_4	FAM21C	0
FAM21C_5	FAM21C	0
FAM220A_1	FAM220A	0
FAM220A_2	FAM220A	0
FAM220A_3	FAM220A	0
FAM220A_4	FAM220A	0
FAM220A_5	FAM220A	0
FAM221A_1	FAM221A	0
FAM221A_2	FAM221A	0
FAM221A_3	FAM221A	0
FAM221A_4	FAM221A	0
FAM221A_5	FAM221A	0
FAM221B_1	FAM221B	0
FAM221B_2	FAM221B	0
FAM221B_3	FAM221B	0
FAM221B_4	FAM221B	0
FAM221B_5	FAM221B	0
FAM222A_1	FAM222A	0
FAM222A_2	FAM222A	0
FAM222A_3	FAM222A	0
FAM222A_4	FAM222A	0
FAM222A_5	FAM222A	0
FAM222B_1	FAM222B	0
FAM222B_2	FAM222B	0
FAM222B_3	FAM222B	0
FAM222B_4	FAM222B	0
FAM222B_5	FAM222B	0
FAM227A_1	FAM227A	0
FAM227A_2	FAM227A	0
FAM227A_3	FAM227A	0
FAM227A_4	FAM227A	0
FAM227A_5	FAM227A	0
FAM227B_1	FAM227B	0
FAM227B_2	FAM227B	0
FAM227B_3	FAM227B	0
FAM227B_4	FAM227B	0
FAM227B_5	FAM227B	0
FAM228A_1	FAM228A	0
FAM228A_2	FAM228A	0
FAM228A_3	FAM228A	0
FAM228A_4	FAM228A	0
FAM228A_5	FAM228A	0
FAM228B_1	FAM228B	0
FAM228B_2	FAM228B	0
FAM228B_3	FAM228B	0
FAM228B_5	FAM228B	0
FAM229A_1	FAM229A	0
FAM229A_2	FAM229A	0
FAM229A_3	FAM229A	0
FAM229A_4	FAM229A	0
FAM229B_1	FAM229B	0
FAM229B_2	FAM229B	0
FAM229B_3	FAM229B	0
FAM229B_5	FAM229B	0
FAM234A_1	FAM234A	0
FAM234A_2	FAM234A	0
FAM234A_3	FAM234A	0
FAM234A_4	FAM234A	0
FAM234B_1	FAM234B	0
FAM234B_2	FAM234B	0
FAM234B_3	FAM234B	0
FAM234B_4	FAM234B	0
FAM234B_5	FAM234B	0
FAM237A_1	FAM237A	0
FAM237A_2	FAM237A	0
FAM237A_4	FAM237A	0
FAM237A_5	FAM237A	0
FAM240A_5	FAM240A	0
FAM24A_1	FAM24A	0
FAM24A_2	FAM24A	0
FAM24A_3	FAM24A	0
FAM24A_4	FAM24A	0
FAM24A_5	FAM24A	0
FAM24B_1	FAM24B	0
FAM24B_2	FAM24B	0
FAM24B_4	FAM24B	0
FAM24B_5	FAM24B	0
FAM25A_1	FAM25A	0
FAM25A_2	FAM25A	0
FAM25A_3	FAM25A	0
FAM25A_4	FAM25A	0
FAM25A_5	FAM25A	0
FAM26D_1	FAM26D	0
FAM26D_4	FAM26D	0
FAM26D_5	FAM26D	0
FAM26E_2	FAM26E	0
FAM26E_3	FAM26E	0
FAM26E_4	FAM26E	0
FAM26E_5	FAM26E	0
FAM26F_1	FAM26F	0
FAM26F_2	FAM26F	0
FAM26F_3	FAM26F	0
FAM26F_4	FAM26F	0
FAM26F_5	FAM26F	0
FAM32A_1	FAM32A	0
FAM32A_2	FAM32A	0
FAM32A_3	FAM32A	0
FAM32A_4	FAM32A	0
FAM32A_5	FAM32A	0
FAM35A_1	FAM35A	0
FAM35A_2	FAM35A	0
FAM35A_3	FAM35A	0
FAM35A_4	FAM35A	0
FAM35A_5	FAM35A	0
FAM3A_1	FAM3A	0
FAM3A_2	FAM3A	0
FAM3A_3	FAM3A	0
FAM3A_4	FAM3A	0
FAM3A_5	FAM3A	0
FAM3B_1	FAM3B	0
FAM3B_2	FAM3B	0
FAM3B_3	FAM3B	0
FAM3B_4	FAM3B	0
FAM3B_5	FAM3B	0
FAM3C_4	FAM3C	0
FAM3C_5	FAM3C	0
FAM3D_1	FAM3D	0
FAM3D_2	FAM3D	0
FAM3D_3	FAM3D	0
FAM3D_4	FAM3D	0
FAM3D_5	FAM3D	0
FAM43A_1	FAM43A	0
FAM43A_2	FAM43A	0
FAM43A_4	FAM43A	0
FAM43A_5	FAM43A	0
FAM43B_1	FAM43B	0
FAM43B_2	FAM43B	0
FAM43B_3	FAM43B	0
FAM43B_4	FAM43B	0
FAM43B_5	FAM43B	0
FAM45A_1	FAM45A	0
FAM45A_2	FAM45A	0
FAM45A_3	FAM45A	0
FAM45A_4	FAM45A	0
FAM45A_5	FAM45A	0
FAM46A_1	FAM46A	0
FAM46A_2	FAM46A	0
FAM46A_3	FAM46A	0
FAM46A_4	FAM46A	0
FAM46A_5	FAM46A	0
FAM46B_1	FAM46B	0
FAM46B_2	FAM46B	0
FAM46B_3	FAM46B	0
FAM46B_4	FAM46B	0
FAM46B_5	FAM46B	0
FAM46C_1	FAM46C	0
FAM46C_2	FAM46C	0
FAM46C_3	FAM46C	0
FAM46C_4	FAM46C	0
FAM46C_5	FAM46C	0
FAM46D_3	FAM46D	0
FAM46D_5	FAM46D	0
FAM47A_1	FAM47A	0
FAM47A_2	FAM47A	0
FAM47A_3	FAM47A	0
FAM47A_4	FAM47A	0
FAM47A_5	FAM47A	0
FAM47B_1	FAM47B	0
FAM47B_2	FAM47B	0
FAM47B_3	FAM47B	0
FAM47B_4	FAM47B	0
FAM47B_5	FAM47B	0
FAM47C_1	FAM47C	0
FAM47C_2	FAM47C	0
FAM47C_3	FAM47C	0
FAM47C_5	FAM47C	0
FAM47E_1	FAM47E	0
FAM47E_2	FAM47E	0
FAM47E_3	FAM47E	0
FAM47E_4	FAM47E	0
FAM47E_5	FAM47E	0
FAM49A_1	FAM49A	0
FAM49A_2	FAM49A	0
FAM49A_3	FAM49A	0
FAM49A_4	FAM49A	0
FAM49A_5	FAM49A	0
FAM49B_2	FAM49B	0
FAM49B_3	FAM49B	0
FAM49B_4	FAM49B	0
FAM49B_5	FAM49B	0
FAM50A_1	FAM50A	0
FAM50A_2	FAM50A	0
FAM50A_4	FAM50A	0
FAM50A_5	FAM50A	0
FAM50B_1	FAM50B	0
FAM50B_2	FAM50B	0
FAM50B_3	FAM50B	0
FAM50B_4	FAM50B	0
FAM50B_5	FAM50B	0
FAM53A_1	FAM53A	0
FAM53A_3	FAM53A	0
FAM53A_4	FAM53A	0
FAM53B_1	FAM53B	0
FAM53B_2	FAM53B	0
FAM53B_3	FAM53B	0
FAM53B_4	FAM53B	0
FAM53B_5	FAM53B	0
FAM53C_1	FAM53C	0
FAM53C_2	FAM53C	0
FAM53C_4	FAM53C	0
FAM53C_5	FAM53C	0
FAM57A_1	FAM57A	0
FAM57A_2	FAM57A	0
FAM57A_3	FAM57A	0
FAM57A_4	FAM57A	0
FAM57A_5	FAM57A	0
FAM57B_1	FAM57B	0
FAM57B_3	FAM57B	0
FAM57B_4	FAM57B	0
FAM57B_5	FAM57B	0
FAM58A_1	FAM58A	0
FAM58A_2	FAM58A	0
FAM58A_3	FAM58A	0
FAM58A_4	FAM58A	0
FAM58A_5	FAM58A	0
FAM60A_1	FAM60A	0
FAM60A_2	FAM60A	0
FAM60A_3	FAM60A	0
FAM60A_4	FAM60A	0
FAM60A_5	FAM60A	0
FAM63A_1	FAM63A	0
FAM63A_2	FAM63A	0
FAM63A_3	FAM63A	0
FAM63A_4	FAM63A	0
FAM63A_5	FAM63A	0
FAM63B_1	FAM63B	0
FAM63B_2	FAM63B	0
FAM63B_3	FAM63B	0
FAM63B_4	FAM63B	0
FAM63B_5	FAM63B	0
FAM64A_1	FAM64A	0
FAM64A_2	FAM64A	0
FAM64A_3	FAM64A	0
FAM64A_4	FAM64A	0
FAM64A_5	FAM64A	0
FAM65A_1	FAM65A	0
FAM65A_2	FAM65A	0
FAM65A_3	FAM65A	0
FAM65A_4	FAM65A	0
FAM65A_5	FAM65A	0
FAM65B_2	FAM65B	0
FAM65B_3	FAM65B	0
FAM65B_4	FAM65B	0
FAM65B_5	FAM65B	0
FAM65C_1	FAM65C	0
FAM65C_2	FAM65C	0
